Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1335769333281169410,"RT @SooChoiFolder : JN : Hello, we are BTS. Because of our ARMYs we could receive the Best Group award. Actually we got depressed and felt empty due to the COVID19. But since ARMYs kept supporting us we could release 'dynamite' &amp; 'Life Goes On'. + https://t.co/x17wemNRLd",meilyn lumbanraja,meilynlumbanra1,2020-12-07T02:13:21.000Z,Mon Dec 07 02:13:21 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,video,https://video.twimg.com/ext_tw_video/1335589426253103104/pu/vid/1184x660/SBAeCoogIo3gr-C-.mp4?tag=10,,,
1335769321629507591,Not gonna lie folks I've been super depressed these last couple of days and it's been hard to get myself out of it.,NekoToast ????,ladytron_z,2020-12-07T02:13:18.000Z,Mon Dec 07 02:13:18 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,,,,,
1335769295683530752,@D3athCup Horny and depressed gang??????,J???,guttergl1tter,2020-12-07T02:13:12.000Z,Mon Dec 07 02:13:12 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1335769291690553344,"RT @tribelaw : “Moody and ...sometimes depressed, the president barely shows up to work, ignoring the health and economic crises afflicting the nation and largely clearing his public schedule of meetings unrelated to his desperate bid to rewrite the election results.” https://t.co/tm8seNhCz4",Deborah J Cornwall,dcornwallTIWIK,2020-12-07T02:13:11.000Z,Mon Dec 07 02:13:11 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://www.nytimes.com/2020/12/05/us/politics/trump-presidency-election-loss.html?referringSource=articleShare ,0,0,,,,,
1335769258500841474,i be feeling DEPRESSED,yudi???????,earthgirl888,2020-12-07T02:13:03.000Z,Mon Dec 07 02:13:03 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1335769250707992578,not us depressed in the spot ????,?????????? ??.,DaynaTipton,2020-12-07T02:13:01.000Z,Mon Dec 07 02:13:01 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1335769243917443073,"RT @Jhope_Vibes : this award, know right here that I didn't feel sad, lonely or depressed this year thanks to these friends and this team. (To the members) You've worked so hard this year and I love you. Also, I'm not sure if he is looking at this right now, but I wish our Suga hyung will recover+",f? ?SEOKJINS BDAY BASH?,chaitwt,2020-12-07T02:12:59.000Z,Mon Dec 07 02:12:59 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1335769240717172738,"Me: *depressed, anxiety, self harm, suicide attempts, pan, trans*
God: Go to hell!!
Satan: Stop sending me people to hook up with!!
Me: * Just happy I get to be with all the gays*
Cats: We are here too!!
Me: * smiles in gay*",Ashton Ferrow Clark,ClarkFerrow,2020-12-07T02:12:59.000Z,Mon Dec 07 02:12:59 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,,,,,
1335769234341679105,"RT @KanganaTeam : By the way Mumbai Mirror wrote most vulgar and obnoxious blind items about Sushant Singh Rajput, he mentioned in his interviews that these rumours and smear campaigns by movie mafia make him feel depressed, yesterday the daily got shut #JustSaying",VG,VGNayak,2020-12-07T02:12:57.000Z,Mon Dec 07 02:12:57 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,1,0,,,,,
1335769226368475136,@FitForAKyle @Salojoelina there was no ‘mistake’ lmfao he was silent about BLM for months despite fans asking him to speak up about it and use his platform and just made jokes about it and then “apologized” by saying he’s depressed,nico ??,bmthnico,2020-12-07T02:12:55.000Z,Mon Dec 07 02:12:55 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,
1335769220353671171,"RT @Jo_Tovey : Australia is still spending millions to keep a single family with very small children - who had a loving community - depressed, lonely and in detention on remote island. Story by ?@joshgnosis?  https://t.co/r1I3yds2s0",Leslie McGill,leselec27,2020-12-07T02:12:54.000Z,Mon Dec 07 02:12:54 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://www.theguardian.com/australia-news/2020/dec/04/1000-days-later-the-biloela-family-spending-their-third-christmas-in-detention ,0,1,,,,,
1335769210681782272,RT @danellereneau : Haha sorry I ghosted you I was depressed and wanted to die but now I’m horny wyd,Jojo,AmbieeJojo,2020-12-07T02:12:51.000Z,Mon Dec 07 02:12:51 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1335769210086035457,RT @_lauraidamarie : I was pretty much depressed for most of this year sometimes I can’t even believe I made it this far if we being real,Morelia??,morelia024,2020-12-07T02:12:51.000Z,Mon Dec 07 02:12:51 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1335769205212213248,"Knees weak, arms heavy. Depressed.",Fooproof,ryanfooproof,2020-12-07T02:12:50.000Z,Mon Dec 07 02:12:50 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1335769202800652292,nothing makes me more depressed than realizing i could've been born a pretty girl with my same interests and made thousands of dollars https://t.co/F9IQFv3iwe,?RED?tumi,tacowo_,2020-12-07T02:12:49.000Z,Mon Dec 07 02:12:49 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/realasysk/status/1335738677360726025 ,0,0,,,,,
